Title,Slug,Year,Description,ArtistName,Genres,ImageUrl
"Mind, Body & Soul",mind-body--soul,2004,"Mind, Body & Soul is an album by Joss Stone released in 2004.",Joss Stone,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/fd4fe251-80e3-404d-aa64-b0d55d56b3ab-mind_body__soul.jpg"
La Única - Single (Sprite Limelight),la-nica---single-sprite-limelight,2022,"La Única - Single (Sprite Limelight) is an album by Kali Uchis released in 2022.",Kali Uchis,Pop Latino,"https://d1mcd66l4tbl1o.cloudfront.net/releases/5dfdf397-6775-4325-9ee9-2a269858c67d-la_nica__single_sprite_limelight.jpg"
Apolonio,apolonio,2020,"Apolonio is an album by Omar Apollo released in 2020.",Omar Apollo,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/93818705-0217-4550-8d46-b4187d051019-apolonio.jpg"
God Said No,god-said-no,2024,"God Said No is an album by Omar Apollo released in 2024.",Omar Apollo,Pop,"https://d1mcd66l4tbl1o.cloudfront.net/releases/f1edc787-d4fe-482c-95f8-35afe2e3f0f5-god_said_no.jpg"
Trouble,trouble,2004,"Trouble is an album by Akon released in 2004.",Akon,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/61430429-bbf5-460d-a899-193411baaa02-trouble.jpg"
Konvicted,konvicted,2006,"Konvicted is an album by Akon released in 2006.",Akon,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/0aef8c55-fd4f-4656-a75e-03f3d5e022bf-konvicted.jpg"
İste,iste,2004,"İste is an album by Mustafa released in 2004.",Mustafa,Pop,"https://d1mcd66l4tbl1o.cloudfront.net/releases/3959f137-a106-47bf-b684-db570864be4f-iste.jpg"
"i,i",ii,2019,"i,i is an album by Bon Iver released in 2019.",Bon Iver,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/90498545-6bb5-4f2d-a9b7-49683150d1af-ii.jpg"
Late Night Tales: BadBadNotGood (Mixed),late-night-tales-badbadnotgood-mixed,1998,"Late Night Tales: BadBadNotGood (Mixed) is an album by BADBADNOTGOOD released in 1998.",BADBADNOTGOOD,Electronic,"https://d1mcd66l4tbl1o.cloudfront.net/releases/89484498-080d-4588-9e6e-43a96d34ab02-late_night_tales_badbadnotgood_mixed.jpg"
III,iii,2014,"III is an album by BADBADNOTGOOD released in 2014.",BADBADNOTGOOD,Jazz,"https://d1mcd66l4tbl1o.cloudfront.net/releases/63568b58-cc15-4900-a3f7-2330c19b7e2f-iii.jpg"
Sour Soul (Instrumentals),sour-soul-instrumentals,2015,"Sour Soul (Instrumentals) is an album by BADBADNOTGOOD released in 2015.",BADBADNOTGOOD,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/cd2076a4-19a8-4e1e-83d9-07396888379e-sour_soul_instrumentals.jpg"
THE BOOK,the-book,2021,"THE BOOK is an album by YOASOBI released in 2021.",YOASOBI,J-Pop,""
THE BOOK 2,the-book-2,2021,"THE BOOK 2 is an album by YOASOBI released in 2021.",YOASOBI,J-Pop,""
E-SIDE,e-side,2021,"E-SIDE is an album by YOASOBI released in 2021.",YOASOBI,J-Pop,""
